,,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
16,0,0.59,0.935,11,-3.957,0,0.114,0.0121,0.000343,0.34,0.186,150.017,audio_features,67IB9ZfmbFmo7S4Y1Ve2ti,spotify:track:67IB9ZfmbFmo7S4Y1Ve2ti,https://api.spotify.com/v1/tracks/67IB9ZfmbFmo7S4Y1Ve2ti,https://api.spotify.com/v1/audio-analysis/67IB9ZfmbFmo7S4Y1Ve2ti,249200,4
17,0,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,audio_features,5uEYRdEIh9Bo4fpjDd4Na9,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,https://api.spotify.com/v1/tracks/5uEYRdEIh9Bo4fpjDd4Na9,https://api.spotify.com/v1/audio-analysis/5uEYRdEIh9Bo4fpjDd4Na9,162803,4
18,0,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,audio_features,7JuHVG3qQKQKxC4doneXVW,spotify:track:7JuHVG3qQKQKxC4doneXVW,https://api.spotify.com/v1/tracks/7JuHVG3qQKQKxC4doneXVW,https://api.spotify.com/v1/audio-analysis/7JuHVG3qQKQKxC4doneXVW,184490,4
19,0,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,audio_features,1IIKrJVP1C9N7iPtG6eOsK,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,https://api.spotify.com/v1/tracks/1IIKrJVP1C9N7iPtG6eOsK,https://api.spotify.com/v1/audio-analysis/1IIKrJVP1C9N7iPtG6eOsK,176960,4
20,0,0.75,0.95,1,-2.938,1,0.194,0.077,0.000332,0.161,0.623,81.019,audio_features,3syIqcdNRjbFcWkEMRRT1d,spotify:track:3syIqcdNRjbFcWkEMRRT1d,https://api.spotify.com/v1/tracks/3syIqcdNRjbFcWkEMRRT1d,https://api.spotify.com/v1/audio-analysis/3syIqcdNRjbFcWkEMRRT1d,186667,4
21,0,0.803,0.902,1,-2.934,1,0.0676,0.00533,0.667,0.111,0.628,126.999,audio_features,1dQtt3K8GyPmH7ZD1LJ2ox,spotify:track:1dQtt3K8GyPmH7ZD1LJ2ox,https://api.spotify.com/v1/tracks/1dQtt3K8GyPmH7ZD1LJ2ox,https://api.spotify.com/v1/audio-analysis/1dQtt3K8GyPmH7ZD1LJ2ox,166777,4
22,0,0.768,0.926,7,-7.733,1,0.0483,0.00537,1.68e-05,0.161,0.521,126.002,audio_features,5Mxq5cd9xreH7HbycVJG8y,spotify:track:5Mxq5cd9xreH7HbycVJG8y,https://api.spotify.com/v1/tracks/5Mxq5cd9xreH7HbycVJG8y,https://api.spotify.com/v1/audio-analysis/5Mxq5cd9xreH7HbycVJG8y,219250,4
23,0,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,4
24,0,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,audio_features,2tFwfmceQa1Y6nRPhYbEtC,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,https://api.spotify.com/v1/tracks/2tFwfmceQa1Y6nRPhYbEtC,https://api.spotify.com/v1/audio-analysis/2tFwfmceQa1Y6nRPhYbEtC,227520,4
25,0,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,audio_features,2Y0wPrPQBrGhoLn14xRYCG,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,https://api.spotify.com/v1/tracks/2Y0wPrPQBrGhoLn14xRYCG,https://api.spotify.com/v1/audio-analysis/2Y0wPrPQBrGhoLn14xRYCG,205485,4
